participant,syllables,lexicality,rt,acc,
P1,3.0,1.0,0.5478,1.0,
P1,3.0,2.0,0.7572,1.0,
P1,4.0,2.0,0.8672,1.0,
P1,4.0,1.0,0.5857,1.0,
P1,4.0,1.0,0.702,1.0,
P1,4.0,2.0,0.5858,1.0,
P1,3.0,2.0,0.646,1.0,
P1,4.0,1.0,0.6675,1.0,
P1,4.0,2.0,0.6924,1.0,
P1,3.0,1.0,0.5921,1.0,
P1,4.0,2.0,0.6132,1.0,
P1,4.0,1.0,0.6256,1.0,
P1,4.0,1.0,0.5984,1.0,
P1,3.0,2.0,0.5501,1.0,
P1,3.0,1.0,0.6986,1.0,
P1,3.0,1.0,0.482,1.0,
P1,4.0,1.0,0.6345,1.0,
P1,4.0,1.0,0.6279,1.0,
P1,3.0,2.0,0.5746,1.0,
P1,3.0,2.0,0.5485,1.0,
P1,4.0,1.0,0.5755,1.0,
P1,4.0,1.0,0.9735,1.0,
P1,3.0,2.0,0.5233,1.0,
P1,3.0,1.0,0.555,1.0,
P1,4.0,1.0,0.6774,1.0,
P1,3.0,1.0,0.5736,1.0,
P1,4.0,2.0,0.5939,1.0,
P1,3.0,2.0,0.5543,1.0,
P1,4.0,2.0,0.5365,1.0,
P1,4.0,1.0,0.5163,1.0,
P1,3.0,1.0,0.5175,1.0,
P1,3.0,2.0,0.5119,1.0,
P1,3.0,1.0,0.6128,1.0,
P1,3.0,1.0,0.5893,1.0,
P1,3.0,1.0,0.4869,1.0,
P1,4.0,1.0,0.593,1.0,
P1,4.0,1.0,0.5202,1.0,
P1,3.0,1.0,0.5071,1.0,
P1,3.0,2.0,0.6443,1.0,
P1,4.0,2.0,0.577,1.0,
P1,3.0,1.0,0.5328,1.0,
P1,4.0,1.0,0.5814,1.0,
P1,4.0,2.0,0.5939,1.0,
P1,4.0,1.0,0.4901,1.0,
P1,3.0,1.0,0.5815,1.0,
P1,3.0,1.0,0.4836,1.0,
P1,4.0,2.0,0.5334,1.0,
P1,3.0,2.0,0.5907,1.0,
P1,4.0,2.0,0.5116,1.0,
P1,4.0,1.0,0.5274,1.0,
P1,4.0,2.0,0.4589,0.0,
P1,4.0,1.0,0.5449,1.0,
P1,3.0,1.0,0.6144,1.0,
P1,3.0,1.0,0.5194,1.0,
P1,4.0,1.0,0.4197,1.0,
P1,3.0,2.0,0.5359,1.0,
P1,4.0,2.0,0.4513,1.0,
P1,3.0,1.0,0.4783,1.0,
P1,3.0,2.0,0.5313,1.0,
P1,4.0,1.0,0.4341,1.0,
P1,4.0,1.0,0.4463,1.0,
P1,4.0,1.0,0.5582,1.0,
P1,3.0,2.0,0.6746,1.0,
P1,3.0,2.0,0.4575,1.0,
P1,3.0,1.0,0.4733,1.0,
P1,3.0,2.0,0.466,1.0,
P1,4.0,2.0,0.5271,1.0,
P1,3.0,2.0,0.5827,1.0,
P1,4.0,1.0,0.6501,1.0,
P1,4.0,1.0,0.512,1.0,
P1,4.0,1.0,0.5239,1.0,
P1,4.0,1.0,0.5589,1.0,
P1,3.0,2.0,0.5797,1.0,
P1,4.0,1.0,0.5069,1.0,
P1,4.0,2.0,0.5443,1.0,
P1,3.0,1.0,0.8554,0.0,
P1,3.0,1.0,0.6486,1.0,
P1,4.0,2.0,0.5991,1.0,
P1,4.0,2.0,0.4982,1.0,
P1,3.0,2.0,0.5269,1.0,
P1,3.0,2.0,0.812,1.0,
P1,3.0,1.0,0.5302,1.0,
P1,3.0,2.0,0.4391,1.0,
P1,3.0,2.0,0.6454,1.0,
P1,3.0,2.0,0.538,1.0,
P1,3.0,2.0,0.5524,1.0,
P1,3.0,1.0,0.4629,1.0,
P1,3.0,1.0,0.515,1.0,
P1,4.0,2.0,0.6188,1.0,
P1,3.0,1.0,0.4946,1.0,
